ID;Default;Loan_Type;Gender;Degree;Citizenship;Age;Income;Credit_Score;Loan_Length;Signers
40;0;Home;Female;HS      ;Citizen    ;43;75956;592;6;2
41;0;Home;Male  ;HS      ;Citizen    ;41;80480;689;5;2
42;0;Home;Male  ;HS      ;Citizen    ;50;113200;573;6;2
43;0;Car ;Female;HS      ;Citizen    ;51;94323;632;0;2
44;0;Car ;Female;College ;Citizen    ;39;122986;629;3;1
45;0;Car ;Female;HS      ;Citizen    ;50;118155;705;0;2
46;0;Car ;Male  ;HS      ;Citizen    ;41;92730;614;1;2
47;0;Car ;Male  ;HS      ;Citizen    ;39;106330;650;3;2
48;0;Car ;Male  ;HS      ;Citizen    ;47;92742;668;1;1
49;0;Car ;Female;HS      ;Citizen    ;40;90204;714;0;1
50;0;Car ;Male  ;College ;Citizen    ;57;105074;678;2;2
51;0;Car ;Female;HS      ;Citizen    ;44;67887;546;0;2
52;0;Car ;Female;College ;Citizen    ;52;117994;753;0;2
53;0;Car ;Female;HS      ;Citizen    ;47;115866;669;2;2
54;0;Car ;Male  ;HS      ;Citizen    ;39;86162;457;1;2
55;0;Car ;Male  ;HS      ;Citizen    ;45;97152;534;0;2
56;0;Home;Female;HS      ;Citizen    ;50;127891;596;8;1
57;0;Home;Female;HS      ;Citizen    ;40;86997;571;6;2
58;0;Car ;Female;HS      ;Citizen    ;44;94050;620;0;2
59;0;Car ;Male  ;College ;Citizen    ;47;84924;644;2;2
60;0;Car ;Male  ;HS      ;Citizen    ;48;92904;605;3;2
61;0;Car ;Male  ;HS      ;Citizen    ;40;94239;563;3;2
62;0;Car ;Male  ;HS      ;Citizen    ;46;117596;602;0;2
63;0;Home;Male  ;HS      ;Citizen    ;49;98343;686;10;2
64;0;Car ;Female;HS      ;Citizen    ;36;70946;637;0;2
65;0;Home;Male  ;College ;Citizen    ;34;120250;590;6;2
66;0;Car ;Female;College ;Citizen    ;37;94604;535;1;2
67;0;Home;Male  ;HS      ;Citizen    ;40;86004;524;7;2
68;0;Car ;Male  ;HS      ;Citizen    ;37;111413;592;0;2
69;0;Home;Male  ;HS      ;Citizen    ;48;98027;655;5;2
70;0;Home;Male  ;HS      ;Citizen    ;36;64901;483;6;2
71;0;Car ;Female;HS      ;Citizen    ;42;96461;591;0;2
72;1;Car ;Male  ;HS      ;Citizen    ;48;112781;680;2;2
73;0;Car ;Female;HS      ;Citizen    ;42;105276;690;2;1
74;0;Home;Male  ;HS      ;Citizen    ;36;89483;663;12;2
75;0;Car ;Female;College ;Citizen    ;41;107629;650;1;2
76;0;Car ;Male  ;HS      ;Citizen    ;50;88480;582;0;2
77;0;Car ;Female;HS      ;Citizen    ;48;63332;597;1;2
78;0;Car ;Female;College ;Citizen    ;47;110486;605;2;2
79;0;Car ;Male  ;HS      ;Citizen    ;36;91003;584;1;2
80;0;Car ;Female;Graduate;Citizen    ;46;87658;688;2;2
81;0;Home;Male  ;HS      ;Citizen    ;35;67801;514;6;2
82;0;Car ;Female;HS      ;Citizen    ;44;107880;654;0;2
83;0;Car ;Female;College ;Citizen    ;42;126326;608;3;1
84;0;Car ;Female;HS      ;Citizen    ;43;94438;687;1;2
85;0;Home;Male  ;HS      ;Citizen    ;33;95915;557;5;2
86;0;Car ;Male  ;College ;Citizen    ;47;75815;582;2;2
87;0;Car ;Female;HS      ;Citizen    ;44;109771;596;2;2
88;0;Home;Male  ;HS      ;Citizen    ;41;99144;621;13;2
89;0;Car ;Female;Graduate;Citizen    ;42;118537;623;2;2
90;0;Car ;Female;HS      ;Citizen    ;44;132693;660;2;1
91;0;Car ;Male  ;HS      ;Citizen    ;40;108362;703;1;2
92;0;Car ;Female;HS      ;Citizen    ;40;104512;701;0;1
93;0;Car ;Female;College ;Non-citizen;39;113403;657;1;2
94;0;Car ;Male  ;HS      ;Citizen    ;41;82365;572;0;2
95;0;Car ;Female;HS      ;Citizen    ;36;113265;596;1;2
96;0;Car ;Female;HS      ;Citizen    ;38;84750;598;0;2
97;0;Car ;Male  ;HS      ;Citizen    ;49;100032;584;2;2
98;0;Car ;Male  ;College ;Citizen    ;32;94471;468;3;2
99;0;Car ;Male  ;HS      ;Citizen    ;37;61508;562;2;2
100;0;Car ;Female;College ;Citizen    ;55;128124;691;3;2
101;0;Car ;Male  ;HS      ;Citizen    ;48;104622;626;2;1
102;0;Car ;Male  ;HS      ;Citizen    ;41;101887;526;1;2
103;0;Car ;Male  ;College ;Citizen    ;37;94400;637;2;2
104;0;Car ;Female;College ;Citizen    ;50;102471;571;1;2
105;0;Car ;Male  ;Graduate;Citizen    ;54;118278;471;3;2
106;0;Car ;Female;College ;Citizen    ;62;98850;622;1;2
107;0;Car ;Female;College ;Citizen    ;51;121978;644;3;2
108;1;Home;Male  ;HS      ;Citizen    ;47;116594;650;7;2
109;0;Car ;Female;HS      ;Citizen    ;47;106577;712;2;1
110;0;Home;Male  ;HS      ;Citizen    ;42;82115;578;7;2
111;0;Home;Female;HS      ;Citizen    ;37;88622;523;5;2
112;0;Car ;Male  ;College ;Citizen    ;41;106759;580;3;1
113;0;Home;Female;College ;Citizen    ;26;95496;649;5;2
114;0;Car ;Female;College ;Citizen    ;46;78871;583;1;2
115;0;Home;Female;College ;Citizen    ;37;72233;583;6;2
116;0;Car ;Male  ;HS      ;Citizen    ;44;96670;720;1;2
117;1;Car ;Female;College ;Non-citizen;56;137669;689;1;1
118;1;Car ;Female;College ;Non-citizen;50;114114;696;2;2
119;0;Car ;Female;College ;Citizen    ;41;86496;604;2;2
120;0;Car ;Female;HS      ;Citizen    ;31;97583;506;0;2
121;0;Car ;Male  ;HS      ;Citizen    ;37;120005;502;2;2
122;0;Home;Male  ;HS      ;Citizen    ;33;104788;535;6;2
123;1;Car ;Female;HS      ;Citizen    ;54;91587;742;0;2
124;0;Home;Male  ;College ;Citizen    ;46;113556;613;10;2
125;0;Car ;Male  ;Graduate;Non-citizen;52;101998;636;3;2
126;0;Car ;Male  ;College ;Citizen    ;40;111874;529;3;2
127;0;Car ;Female;HS      ;Citizen    ;32;122053;540;0;2
128;0;Home;Male  ;HS      ;Citizen    ;44;83691;521;5;2
129;0;Car ;Female;HS      ;Citizen    ;38;106560;558;0;2
130;0;Car ;Male  ;College ;Citizen    ;41;98747;596;1;2
131;0;Car ;Male  ;HS      ;Citizen    ;37;79054;632;0;2
132;0;Home;Male  ;HS      ;Citizen    ;42;70309;572;5;2
133;0;Home;Male  ;HS      ;Citizen    ;37;79672;552;3;2
134;0;Car ;Female;HS      ;Citizen    ;41;96418;657;1;1
135;0;Home;Male  ;HS      ;Citizen    ;32;105689;525;6;2
136;0;Home;Female;College ;Citizen    ;41;105493;718;8;2
137;1;Car ;Male  ;HS      ;Citizen    ;48;129293;706;2;2
138;0;Car ;Male  ;HS      ;Citizen    ;38;93754;588;0;2
139;0;Car ;Female;HS      ;Citizen    ;51;105797;580;2;2
140;0;Car ;Male  ;College ;Citizen    ;41;112033;563;2;2
141;0;Car ;Male  ;College ;Citizen    ;48;94165;583;2;2
142;0;Home;Male  ;HS      ;Citizen    ;30;71571;566;1;2
143;1;Car ;Female;College ;Citizen    ;44;104553;688;2;2
144;0;Home;Male  ;Graduate;Citizen    ;38;107839;682;12;2
145;0;Car ;Female;HS      ;Citizen    ;42;86878;487;2;2
146;0;Car ;Male  ;College ;Citizen    ;56;114940;633;2;2
147;0;Car ;Male  ;College ;Citizen    ;47;85479;653;1;2
148;0;Home;Female;HS      ;Citizen    ;42;84707;627;6;2
149;0;Home;Male  ;College ;Citizen    ;47;65487;504;9;2
150;0;Car ;Female;HS      ;Citizen    ;35;95957;625;0;2
151;0;Car ;Male  ;HS      ;Citizen    ;35;121765;568;3;2
152;0;Car ;Male  ;College ;Citizen    ;46;94219;701;1;2
153;0;Car ;Female;HS      ;Non-citizen;41;95467;639;1;2
154;0;Car ;Male  ;HS      ;Citizen    ;40;81158;625;1;2
155;0;Home;Male  ;HS      ;Citizen    ;30;55276;535;5;2
156;1;Car ;Female;College ;Citizen    ;39;92009;738;1;2
157;0;Car ;Female;HS      ;Citizen    ;31;99295;572;0;2
158;0;Home;Male  ;College ;Citizen    ;36;105141;593;8;2
159;0;Car ;Male  ;HS      ;Citizen    ;46;83935;767;1;2
160;0;Home;Male  ;HS      ;Citizen    ;39;112444;537;3;2
161;0;Car ;Male  ;HS      ;Citizen    ;49;109448;601;2;2
162;0;Car ;Female;HS      ;Citizen    ;37;88295;601;0;2
163;0;Car ;Male  ;HS      ;Citizen    ;52;101542;552;2;2
164;0;Home;Male  ;HS      ;Citizen    ;49;105387;585;12;2
165;0;Car ;Male  ;HS      ;Citizen    ;36;105836;505;1;2
166;0;Car ;Male  ;HS      ;Citizen    ;47;98693;662;2;2
167;0;Home;Male  ;HS      ;Citizen    ;45;103574;521;10;2
168;0;Home;Male  ;HS      ;Citizen    ;44;85816;605;9;2
169;0;Car ;Male  ;HS      ;Citizen    ;52;105639;822;0;2
170;0;Home;Female;HS      ;Citizen    ;44;110446;621;6;2
171;0;Car ;Male  ;College ;Citizen    ;40;96149;560;2;2
172;0;Car ;Female;HS      ;Citizen    ;56;129233;659;0;2
173;0;Car ;Male  ;College ;Citizen    ;48;142083;683;2;2
174;0;Car ;Female;HS      ;Citizen    ;37;96187;600;1;2
175;0;Home;Female;College ;Citizen    ;43;115134;578;10;2
176;0;Home;Male  ;HS      ;Citizen    ;36;53709;541;7;2
177;0;Car ;Female;HS      ;Non-citizen;55;117622;575;0;2
178;0;Car ;Male  ;College ;Citizen    ;50;128119;822;3;2
179;0;Car ;Female;HS      ;Citizen    ;41;90013;595;2;2
180;0;Car ;Male  ;HS      ;Citizen    ;31;61786;533;0;2
181;0;Home;Female;College ;Citizen    ;34;64024;693;5;2
182;0;Car ;Male  ;College ;Citizen    ;45;75261;602;2;2
183;0;Home;Female;College ;Citizen    ;42;106206;570;4;2
184;0;Car ;Female;College ;Citizen    ;43;120510;595;0;2
185;0;Home;Male  ;HS      ;Citizen    ;33;116700;549;1;2
186;0;Home;Male  ;HS      ;Citizen    ;32;87202;575;3;2
187;0;Car ;Male  ;HS      ;Citizen    ;40;83125;569;0;2
188;0;Car ;Male  ;HS      ;Citizen    ;42;83844;650;0;2
189;0;Car ;Male  ;HS      ;Citizen    ;43;100112;453;2;2
190;0;Car ;Male  ;Graduate;Citizen    ;49;126511;716;3;2
191;0;Car ;Male  ;HS      ;Non-citizen;50;106383;535;1;2
192;0;Car ;Male  ;HS      ;Citizen    ;46;102451;559;2;2
193;1;Home;Female;Graduate;Citizen    ;38;87650;641;5;2
194;0;Home;Male  ;HS      ;Citizen    ;46;105334;534;10;2
195;0;Car ;Male  ;HS      ;Citizen    ;39;101608;522;0;2
196;0;Home;Male  ;HS      ;Citizen    ;42;108430;629;13;2
197;0;Car ;Female;HS      ;Citizen    ;48;115372;591;2;2
198;0;Car ;Female;HS      ;Citizen    ;41;101821;655;2;2
199;0;Car ;Male  ;HS      ;Citizen    ;39;101002;629;3;2
200;0;Car ;Female;College ;Non-citizen;48;108378;688;0;2
201;0;Car ;Male  ;Graduate;Citizen    ;44;87408;537;3;2
202;0;Home;Male  ;College ;Citizen    ;53;112383;671;8;2
203;1;Home;Male  ;HS      ;Citizen    ;31;108061;614;9;2
204;0;Car ;Female;HS      ;Citizen    ;39;101420;701;2;2
205;0;Car ;Male  ;College ;Citizen    ;35;93252;517;1;2
206;0;Car ;Male  ;HS      ;Citizen    ;45;79590;629;2;2
207;0;Car ;Female;HS      ;Citizen    ;53;106569;701;1;2
208;0;Home;Male  ;College ;Non-citizen;45;109824;708;9;2
209;0;Home;Female;HS      ;Citizen    ;36;112640;649;4;2
210;0;Car ;Female;HS      ;Citizen    ;47;71524;644;0;2
211;0;Car ;Female;HS      ;Citizen    ;29;45103;585;0;2
212;0;Car ;Female;HS      ;Citizen    ;51;106947;700;1;2
213;0;Home;Female;HS      ;Citizen    ;47;90422;598;3;2
214;1;Car ;Male  ;HS      ;Citizen    ;46;120777;658;2;2
215;0;Home;Male  ;HS      ;Citizen    ;42;113592;588;5;2
216;0;Home;Male  ;HS      ;Citizen    ;36;97782;638;6;2
217;0;Car ;Female;HS      ;Citizen    ;43;109092;649;0;2
218;0;Home;Male  ;HS      ;Citizen    ;44;88268;608;7;1
219;1;Car ;Male  ;HS      ;Citizen    ;50;97334;626;0;2
220;0;Car ;Female;HS      ;Citizen    ;39;95519;563;1;2
221;0;Home;Male  ;College ;Citizen    ;48;57502;579;9;2
222;0;Home;Male  ;HS      ;Citizen    ;33;98858;616;7;2
223;0;Car ;Male  ;HS      ;Citizen    ;44;77614;614;0;2
224;0;Car ;Male  ;College ;Citizen    ;46;89245;649;2;2
225;0;Car ;Female;College ;Citizen    ;40;95368;638;1;2
226;0;Car ;Female;HS      ;Citizen    ;42;123815;684;3;2
227;0;Home;Male  ;HS      ;Citizen    ;50;106085;664;2;2
228;0;Car ;Male  ;HS      ;Citizen    ;50;118184;645;1;2
229;0;Car ;Male  ;HS      ;Citizen    ;31;75153;522;0;2
230;0;Car ;Female;HS      ;Citizen    ;38;102509;512;3;2
231;0;Car ;Male  ;HS      ;Citizen    ;47;110604;576;1;2
232;1;Home;Female;Graduate;Citizen    ;51;110699;683;3;2
233;0;Home;Female;HS      ;Citizen    ;43;72684;625;4;2
234;0;Car ;Male  ;HS      ;Citizen    ;42;81629;690;0;2
235;0;Home;Male  ;HS      ;Citizen    ;41;47859;517;1;2
236;0;Car ;Male  ;HS      ;Citizen    ;38;97805;561;0;2
237;0;Car ;Female;College ;Citizen    ;48;95118;696;1;1
238;0;Home;Male  ;HS      ;Citizen    ;35;85182;603;4;2
239;0;Car ;Female;HS      ;Citizen    ;41;69221;697;0;2
240;0;Home;Male  ;College ;Citizen    ;38;84649;578;6;2
241;0;Car ;Female;College ;Citizen    ;49;101001;719;1;2
242;0;Home;Male  ;HS      ;Citizen    ;39;87312;571;3;2
243;1;Car ;Female;College ;Citizen    ;44;100978;685;2;2
244;0;Home;Female;HS      ;Citizen    ;45;98420;592;3;2
245;0;Car ;Male  ;HS      ;Citizen    ;35;76690;517;0;2
246;0;Car ;Male  ;HS      ;Citizen    ;49;105512;669;0;2
247;0;Car ;Male  ;HS      ;Citizen    ;38;83456;512;2;2
248;0;Car ;Male  ;College ;Citizen    ;49;107705;695;3;2
249;0;Car ;Female;HS      ;Citizen    ;45;102789;549;1;2
250;0;Car ;Male  ;College ;Citizen    ;37;65698;620;1;2
251;0;Car ;Male  ;HS      ;Citizen    ;49;84677;566;0;2
252;0;Car ;Male  ;HS      ;Citizen    ;53;126542;659;3;2
253;0;Car ;Female;HS      ;Citizen    ;46;117076;584;2;2
254;0;Car ;Male  ;HS      ;Citizen    ;53;105099;583;0;2
255;0;Car ;Male  ;College ;Citizen    ;51;98294;558;3;2
256;0;Car ;Male  ;HS      ;Citizen    ;38;93933;637;1;2
258;0;Home;Female;HS      ;Citizen    ;34;82406;601;3;2
259;0;Car ;Male  ;HS      ;Citizen    ;47;96505;635;1;2
260;0;Car ;Male  ;College ;Citizen    ;43;102415;688;2;2
261;0;Car ;Female;HS      ;Citizen    ;45;94892;643;0;2
262;0;Car ;Female;HS      ;Citizen    ;42;80752;616;0;2
263;0;Home;Female;HS      ;Citizen    ;34;107424;539;1;2
264;0;Car ;Female;Graduate;Citizen    ;45;127969;662;3;2
265;0;Home;Female;HS      ;Citizen    ;50;107040;584;4;2
266;0;Home;Male  ;HS      ;Citizen    ;42;56255;630;6;2
267;0;Car ;Male  ;College ;Citizen    ;40;85385;678;3;2
268;0;Home;Male  ;HS      ;Citizen    ;42;78929;579;1;2
269;0;Car ;Female;HS      ;Citizen    ;48;101432;598;1;2
270;0;Car ;Female;College ;Citizen    ;44;138385;558;2;2
271;0;Car ;Female;Graduate;Citizen    ;57;93078;707;3;1
272;0;Home;Male  ;College ;Citizen    ;38;95156;619;7;2
273;0;Home;Male  ;HS      ;Citizen    ;42;96701;588;8;1
274;0;Home;Male  ;HS      ;Citizen    ;44;100606;579;9;1
275;0;Home;Male  ;HS      ;Citizen    ;29;94702;464;4;2
276;0;Car ;Male  ;College ;Citizen    ;44;116089;608;1;2
277;0;Car ;Female;HS      ;Citizen    ;44;91502;726;0;2
278;0;Home;Male  ;HS      ;Citizen    ;41;79165;634;3;2
279;0;Car ;Male  ;HS      ;Citizen    ;40;62904;666;0;2
280;0;Home;Male  ;HS      ;Non-citizen;40;111836;616;3;2
281;0;Car ;Female;HS      ;Citizen    ;37;108773;579;0;2
282;0;Car ;Male  ;College ;Citizen    ;44;127623;642;2;2
283;1;Car ;Male  ;HS      ;Citizen    ;47;90080;698;0;2
284;1;Home;Female;HS      ;Citizen    ;43;112638;564;6;2
285;0;Car ;Male  ;HS      ;Citizen    ;40;69589;630;0;2
286;0;Home;Male  ;HS      ;Citizen    ;30;89490;565;2;2
287;0;Car ;Male  ;HS      ;Citizen    ;35;92995;463;0;2
288;0;Car ;Male  ;College ;Citizen    ;44;92371;624;3;2
289;0;Car ;Male  ;HS      ;Citizen    ;36;114615;684;2;2
290;0;Home;Male  ;HS      ;Citizen    ;39;103997;590;6;2
291;0;Home;Female;College ;Citizen    ;38;108771;592;13;2
292;0;Home;Male  ;HS      ;Citizen    ;33;92762;524;10;2
293;0;Car ;Female;College ;Citizen    ;49;93237;666;1;2
294;0;Car ;Male  ;HS      ;Citizen    ;37;91143;571;0;2
295;0;Car ;Female;HS      ;Citizen    ;43;97926;510;0;2
296;0;Home;Female;HS      ;Non-citizen;50;139022;682;10;1
297;0;Car ;Male  ;HS      ;Citizen    ;32;64108;629;0;2
298;0;Home;Male  ;HS      ;Citizen    ;39;91205;519;1;2
299;0;Car ;Male  ;HS      ;Citizen    ;41;98098;679;1;2
300;0;Car ;Male  ;HS      ;Citizen    ;33;73509;510;0;2
301;0;Car ;Female;HS      ;Citizen    ;52;134028;625;2;2
302;0;Home;Male  ;HS      ;Citizen    ;31;94993;654;5;2
303;0;Car ;Male  ;HS      ;Citizen    ;37;66753;504;0;2
304;0;Home;Female;HS      ;Citizen    ;40;97553;631;1;2
305;0;Home;Male  ;HS      ;Citizen    ;37;47752;512;7;2
306;0;Home;Male  ;HS      ;Citizen    ;38;94635;629;9;2
307;0;Home;Female;HS      ;Citizen    ;44;104991;506;6;2
308;0;Car ;Female;HS      ;Citizen    ;42;111666;479;0;2
309;0;Car ;Male  ;College ;Citizen    ;45;90679;617;1;2
310;0;Car ;Male  ;College ;Citizen    ;36;90156;659;2;2
311;0;Home;Male  ;HS      ;Citizen    ;45;111981;715;7;2
312;0;Car ;Male  ;College ;Citizen    ;41;123681;575;1;2
313;0;Car ;Male  ;HS      ;Citizen    ;43;106828;673;0;2
314;0;Car ;Male  ;HS      ;Citizen    ;44;126459;647;3;2
315;0;Car ;Male  ;HS      ;Citizen    ;45;102523;592;0;2
316;0;Car ;Male  ;HS      ;Citizen    ;33;60002;728;1;2
317;0;Home;Male  ;HS      ;Citizen    ;37;90529;596;8;2
318;0;Car ;Female;HS      ;Citizen    ;41;90085;616;0;2
319;0;Home;Male  ;HS      ;Citizen    ;35;94422;577;4;2
320;0;Car ;Male  ;HS      ;Citizen    ;47;107142;591;1;2
321;0;Home;Male  ;HS      ;Citizen    ;30;117138;535;6;2
322;0;Car ;Female;HS      ;Citizen    ;35;74330;638;1;1
323;0;Car ;Female;HS      ;Citizen    ;45;113073;599;0;2
324;0;Home;Male  ;HS      ;Citizen    ;35;73092;523;6;2
325;0;Car ;Male  ;HS      ;Citizen    ;52;109324;582;2;2
326;0;Car ;Male  ;College ;Citizen    ;38;105928;614;2;2
327;0;Car ;Female;College ;Citizen    ;37;107889;597;0;2
328;0;Home;Male  ;HS      ;Citizen    ;37;93045;443;6;2
329;0;Car ;Female;HS      ;Citizen    ;46;92836;624;0;1
330;0;Car ;Male  ;HS      ;Citizen    ;45;85088;622;1;2
331;0;Home;Male  ;HS      ;Citizen    ;34;61951;494;4;2
332;0;Car ;Male  ;HS      ;Citizen    ;49;104406;643;1;2
333;0;Car ;Male  ;HS      ;Citizen    ;42;77268;634;2;2
334;0;Home;Female;College ;Citizen    ;40;99521;595;7;2
335;0;Home;Male  ;HS      ;Citizen    ;47;111971;560;2;2
336;0;Car ;Male  ;HS      ;Citizen    ;42;85432;530;1;2
337;0;Car ;Male  ;HS      ;Citizen    ;38;108023;626;0;2
338;0;Car ;Male  ;HS      ;Citizen    ;43;89821;631;1;2
339;1;Car ;Male  ;Graduate;Non-citizen;56;116286;701;2;2
340;0;Car ;Female;HS      ;Citizen    ;44;86820;744;0;1
341;0;Home;Male  ;HS      ;Citizen    ;37;92839;718;8;2
342;0;Car ;Female;College ;Citizen    ;43;98519;637;2;2
343;0;Car ;Male  ;HS      ;Citizen    ;42;72996;553;0;2
344;0;Car ;Female;College ;Citizen    ;51;109867;635;3;2
345;0;Car ;Female;College ;Citizen    ;51;104754;627;2;2
346;0;Car ;Male  ;HS      ;Citizen    ;36;109294;509;1;2
347;0;Car ;Male  ;HS      ;Citizen    ;58;111420;633;2;2
348;1;Car ;Female;College ;Non-citizen;45;111484;644;2;1
349;0;Home;Male  ;College ;Citizen    ;33;95112;666;6;2
350;0;Car ;Female;HS      ;Citizen    ;42;100902;564;0;2
351;0;Home;Female;Graduate;Citizen    ;48;86260;668;11;2
352;0;Home;Male  ;HS      ;Citizen    ;44;76710;542;6;2
353;0;Car ;Male  ;College ;Citizen    ;40;103332;614;1;2
354;0;Home;Male  ;HS      ;Citizen    ;47;104901;518;9;2
355;0;Car ;Female;HS      ;Citizen    ;42;100738;653;0;2
356;0;Home;Female;HS      ;Citizen    ;39;109824;650;7;2
357;0;Car ;Male  ;HS      ;Citizen    ;35;105831;540;1;2
358;0;Car ;Female;College ;Citizen    ;45;98573;656;0;2
359;0;Car ;Female;College ;Citizen    ;41;108167;574;2;2
360;0;Home;Male  ;HS      ;Citizen    ;38;99921;499;10;2
361;0;Home;Male  ;HS      ;Citizen    ;33;78738;433;5;2
362;0;Home;Female;Graduate;Citizen    ;37;106738;592;8;2
363;0;Car ;Male  ;HS      ;Citizen    ;40;95502;567;0;2
364;0;Car ;Male  ;HS      ;Citizen    ;39;91658;403;1;2
365;0;Car ;Female;HS      ;Citizen    ;43;76332;674;0;2
366;1;Car ;Female;Graduate;Non-citizen;51;124592;796;3;2
367;0;Car ;Male  ;College ;Citizen    ;49;84298;589;3;2
368;0;Home;Male  ;HS      ;Citizen    ;43;119009;587;8;2
369;0;Car ;Male  ;HS      ;Citizen    ;40;90963;627;2;2
370;0;Car ;Female;HS      ;Citizen    ;40;115422;672;0;1
371;0;Car ;Male  ;HS      ;Citizen    ;27;82144;550;0;2
372;0;Home;Male  ;HS      ;Citizen    ;39;90919;527;4;2
373;1;Car ;Female;College ;Citizen    ;53;101185;709;3;1
374;0;Car ;Male  ;HS      ;Citizen    ;38;104208;667;0;2
375;0;Home;Male  ;HS      ;Citizen    ;44;84069;720;4;2
376;0;Home;Male  ;HS      ;Citizen    ;26;79546;546;4;2
377;0;Car ;Male  ;College ;Citizen    ;42;81982;454;1;2
378;0;Car ;Female;HS      ;Citizen    ;51;118404;655;2;1
379;0;Car ;Male  ;College ;Citizen    ;46;83902;641;2;2
380;0;Car ;Male  ;HS      ;Citizen    ;53;132712;647;2;2
381;0;Car ;Female;Graduate;Citizen    ;49;105788;682;3;2
382;0;Car ;Female;HS      ;Citizen    ;51;70941;634;1;2
383;0;Home;Male  ;HS      ;Citizen    ;38;100456;455;8;2
384;0;Home;Female;HS      ;Citizen    ;37;98387;532;2;2
385;0;Home;Male  ;HS      ;Citizen    ;32;78638;501;5;2
386;1;Car ;Male  ;College ;Citizen    ;42;133041;641;0;2
387;0;Home;Male  ;HS      ;Citizen    ;44;106028;586;4;2
388;1;Car ;Male  ;College ;Citizen    ;41;118404;690;0;2
389;0;Home;Female;HS      ;Citizen    ;44;73558;641;8;2
390;0;Car ;Male  ;HS      ;Citizen    ;51;121742;675;1;2
391;0;Car ;Female;HS      ;Citizen    ;44;123021;693;1;2
392;0;Car ;Male  ;HS      ;Citizen    ;49;121560;664;3;2
393;0;Home;Male  ;HS      ;Citizen    ;44;127522;595;7;2
394;0;Home;Female;HS      ;Citizen    ;45;79765;514;3;2
395;0;Home;Female;HS      ;Citizen    ;35;110407;636;2;2
396;0;Car ;Male  ;HS      ;Citizen    ;40;106680;711;1;2
397;0;Car ;Female;Graduate;Non-citizen;51;102979;693;3;1
398;0;Car ;Male  ;HS      ;Non-citizen;46;123397;700;2;1
399;0;Home;Male  ;HS      ;Citizen    ;26;80687;502;4;2
400;0;Car ;Female;College ;Citizen    ;35;96089;586;1;1
401;0;Car ;Female;College ;Citizen    ;44;110755;749;2;2
402;0;Car ;Female;Graduate;Non-citizen;47;99830;675;3;2
403;0;Home;Female;HS      ;Citizen    ;37;121760;687;5;2
404;0;Home;Male  ;HS      ;Citizen    ;41;99238;518;7;2
405;0;Car ;Male  ;HS      ;Citizen    ;38;98333;600;1;1
